,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
2850,Adil Rami,Centre-Back,25,LOSC Lille,Ligue 1,Valencia CF,LaLiga,2011-2012,12000000,6000000
2851,Steven Defour,Central Midfield,23,Standard Liège,Jupiler Pro League,FC Porto,Liga NOS,2011-2012,12000000,6000000
2852,Dani Parejo,Central Midfield,22,Getafe CF,LaLiga,Valencia CF,LaLiga,2011-2012,8000000,6000000
2853,Nacho Monreal,Left-Back,25,CA Osasuna,LaLiga,Málaga CF,LaLiga,2011-2012,7000000,6000000
2854,Demy de Zeeuw,Central Midfield,28,AFC Ajax,Eredivisie,Spartak Moscow,Premier Liga,2011-2012,6500000,6000000
2855,Emmanuel Rivière,Centre-Forward,21,Saint-Étienne,Ligue 1,Toulouse,Ligue 1,2011-2012,5250000,6000000
2856,Wesley,Central Midfield,24,Werder Bremen,1.Bundesliga,Palmeiras,Série A,2011-2012,4500000,6000000
2857,Nikola Kalinic,Centre-Forward,23,Blackburn,Premier League,Dnipro,Premier Liga,2011-2012,4500000,6000000
2858,Nabil Dirar,Right Midfield,25,Club Brugge,Jupiler Pro League,Monaco,Ligue 2,2011-2012,3500000,6000000
2859,Fernando,Defensive Midfield,30,G. Bordeaux,Ligue 1,Shabab,Professional League,2011-2012,3000000,6000000
2860,Marcelo Moreno,Centre-Forward,24,Shakhtar D.,Premier Liga,Grêmio,Série A,2011-2012,2800000,6000000
2861,Isco,Attacking Midfield,19,Valencia B,2ª B - Grupo III,Málaga CF,LaLiga,2011-2012,-1,6000000
2862,Djibril Cissé,Centre-Forward,29,Panathinaikos,Super League,Lazio,Serie A,2011-2012,14000000,5800000
2863,Bobby Zamora,Centre-Forward,31,Fulham,Premier League,QPR,Premier League,2011-2012,8000000,5800000
2864,Giovanni Sio,Centre-Forward,22,FC Sion,Super League,VfL Wolfsburg,1.Bundesliga,2011-2012,4500000,5800000
2865,Mehdi Carcela-González,Right Winger,22,Standard Liège,Jupiler Pro League,Anzhi,Premier Liga,2011-2012,4000000,5700000
2866,Davide Santon,Left-Back,20,Inter,Serie A,Newcastle,Premier League,2011-2012,7500000,5650000
2867,Ezequiel Garay,Centre-Back,24,Real Madrid,LaLiga,Benfica,Liga NOS,2011-2012,10000000,5500000
2868,Rafinha,Right-Back,25,Genoa,Serie A,Bayern Munich ,1.Bundesliga,2011-2012,8000000,5500000
